epoch,trained_on,step,loss,grad_norm,seconds
12,property2,7,-0.406275,0.972623,0.46
12,property2,8,-0.408087,0.974815,0.59
12,property2,9,-0.409909,0.975293,0.42
12,property2,10,-0.411780,0.976651,0.52
12,property2,11,-0.413681,0.978018,0.42
12,property2,12,-0.415611,0.979393,0.43
12,property2,13,-0.417566,0.980775,0.43
12,property2,14,-0.419545,0.982159,0.45
12,property2,15,-0.421545,0.983546,0.41
12,property2,16,-0.423564,0.984932,0.43
13,property3,1,-0.461282,7.338274,0.37
13,property3,2,-0.487016,7.707695,0.47
13,property3,3,-0.534947,8.979099,0.38
13,property3,4,-0.613745,10.726394,0.36
13,property3,5,-0.676921,11.894846,0.37
13,property3,6,-0.786007,13.863512,0.36
13,property3,7,-0.920282,15.997684,0.36
13,property3,8,-1.084788,18.355547,0.46
13,property3,9,-1.285183,20.928625,0.50
13,property3,10,-1.536914,23.880972,0.40
13,property3,11,-1.782521,26.411406,0.38
13,property3,12,-2.044368,29.072008,0.37
13,property3,13,-2.362011,31.865294,0.39
13,property3,14,-2.741436,35.308643,0.38
13,property3,15,-3.179061,39.217361,0.41
13,property3,16,-3.721222,44.616081,0.40
14,property4,1,-2.939899,35.468174,0.37
14,property4,2,-3.415187,38.955364,0.48
14,property4,3,-3.958341,43.016251,0.37
14,property4,4,-4.546782,47.980232,0.37
14,property4,5,-5.202317,52.428600,0.36
14,property4,6,-5.934709,57.702358,0.37
14,property4,7,-6.752877,63.451519,0.35
14,property4,8,-7.715668,70.801773,0.37
14,property4,9,-8.833895,78.868713,0.37
14,property4,10,-10.225250,89.730537,0.36
14,property4,11,-11.658528,99.642647,0.42
14,property4,12,-13.297770,111.685066,0.87
14,property4,13,-15.125757,124.484116,0.51
14,property4,14,-inf,nan,0.44
14,property4,15,nan,nan,0.59
14,property4,16,nan,nan,0.45
15,property5,1,nan,nan,0.36
15,property5,2,nan,nan,0.70
15,property5,3,nan,nan,0.36
15,property5,4,nan,nan,0.36
15,property5,5,nan,nan,0.38
15,property5,6,nan,nan,0.51
15,property5,7,nan,nan,0.50
15,property5,8,nan,nan,0.56
15,property5,9,nan,nan,0.41
15,property5,10,nan,nan,0.40
15,property5,11,nan,nan,0.55
15,property5,12,nan,nan,0.48
15,property5,13,nan,nan,0.44
15,property5,14,nan,nan,0.42
15,property5,15,nan,nan,0.43
15,property5,16,nan,nan,0.47
16,property6,1,nan,nan,0.95
16,property6,2,nan,nan,0.81
16,property6,3,nan,nan,0.87
16,property6,4,nan,nan,0.82
16,property6,5,nan,nan,0.83
16,property6,6,nan,nan,1.30
16,property6,7,nan,nan,1.35
16,property6,8,nan,nan,1.11
16,property6,9,nan,nan,0.91
16,property6,10,nan,nan,0.84
16,property6,11,nan,nan,0.88
16,property6,12,nan,nan,0.82
16,property6,13,nan,nan,0.76
16,property6,14,nan,nan,0.75
16,property6,15,nan,nan,0.79
16,property6,16,nan,nan,0.89
17,property7,1,nan,nan,1.25
17,property7,2,nan,nan,1.43
17,property7,3,nan,nan,1.79
17,property7,4,nan,nan,2.17
17,property7,5,nan,nan,1.06
17,property7,6,nan,nan,1.18
17,property7,7,nan,nan,0.78
17,property7,8,nan,nan,0.86
17,property7,9,nan,nan,0.79
17,property7,10,nan,nan,0.72
17,property7,11,nan,nan,0.75
17,property7,12,nan,nan,0.75
17,property7,13,nan,nan,0.72
17,property7,14,nan,nan,0.70
17,property7,15,nan,nan,0.71
17,property7,16,nan,nan,0.77
18,property8,1,nan,nan,1.07
18,property8,2,nan,nan,0.76
18,property8,3,nan,nan,0.72
18,property8,4,nan,nan,0.75
18,property8,5,nan,nan,0.73
18,property8,6,nan,nan,0.72
18,property8,7,nan,nan,0.74
18,property8,8,nan,nan,0.86
18,property8,9,nan,nan,0.75
18,property8,10,nan,nan,0.73
18,property8,11,nan,nan,0.72
18,property8,12,nan,nan,1.15
18,property8,13,nan,nan,0.87
18,property8,14,nan,nan,1.09
18,property8,15,nan,nan,0.91
18,property8,16,nan,nan,0.90
19,property9,1,nan,nan,0.56
19,property9,2,nan,nan,0.47
19,property9,3,nan,nan,0.57
19,property9,4,nan,nan,0.65
19,property9,5,nan,nan,0.60
19,property9,6,nan,nan,0.50
19,property9,7,nan,nan,0.48
19,property9,8,nan,nan,0.55
19,property9,9,nan,nan,0.46
19,property9,10,nan,nan,0.45
19,property9,11,nan,nan,0.43
19,property9,12,nan,nan,0.44
19,property9,13,nan,nan,0.47
19,property9,14,nan,nan,0.44
19,property9,15,nan,nan,0.49
19,property9,16,nan,nan,0.44
