epoch,trained_on,step,loss,grad_norm,seconds
4,property4,12,-0.381705,2.990373,0.43
4,property4,13,-0.409942,3.569551,0.43
4,property4,14,-0.445660,4.217784,0.46
4,property4,15,-0.489360,4.913314,0.71
4,property4,16,-0.538965,5.673593,0.60
5,property5,1,0.315158,1.542137,0.73
5,property5,2,0.311465,1.786753,0.71
5,property5,3,0.307985,1.870681,0.37
5,property5,4,0.302157,2.205132,0.48
5,property5,5,0.290885,2.944507,0.38
5,property5,6,0.293832,2.267861,0.37
5,property5,7,0.268738,3.691548,0.38
5,property5,8,0.262015,3.530287,0.37
5,property5,9,0.239583,4.217885,0.36
5,property5,10,0.212036,4.844585,0.38
5,property5,11,0.175560,5.379196,0.36
5,property5,12,0.141613,5.422596,0.37
5,property5,13,0.109812,5.038429,0.37
5,property5,14,0.065590,4.190657,0.37
5,property5,15,0.037451,2.956781,0.36
5,property5,16,0.021738,1.933430,0.38
6,property6,1,1.544828,19.591286,0.81
6,property6,2,1.513849,18.401367,0.72
6,property6,3,1.702950,22.680082,0.72
6,property6,4,1.136686,12.549230,0.77
6,property6,5,1.331104,18.094528,0.71
6,property6,6,1.120668,14.663533,0.97
6,property6,7,0.798330,7.628723,1.25
6,property6,8,0.819241,8.762144,0.86
6,property6,9,0.636297,4.765556,1.10
6,property6,10,0.614282,4.889397,0.83
6,property6,11,0.499945,1.916059,0.95
6,property6,12,0.478423,1.330180,1.42
6,property6,13,0.454322,0.940623,1.35
6,property6,14,0.447683,0.879980,0.75
6,property6,15,0.446471,0.878531,0.82
6,property6,16,0.445229,0.877038,0.82
7,property7,1,-0.179750,0.542599,0.93
7,property7,2,-0.180155,0.543417,0.80
7,property7,3,-0.180638,0.544374,0.77
7,property7,4,-0.181191,0.545455,0.74
7,property7,5,-0.181805,0.546645,0.74
7,property7,6,-0.182477,0.547932,0.75
7,property7,7,-0.183198,0.549303,0.74
7,property7,8,-0.183966,0.550750,0.78
7,property7,9,-0.184775,0.552264,0.75
7,property7,10,-0.185621,0.553837,0.74
7,property7,11,-0.186502,0.555462,0.75
7,property7,12,-0.187414,0.557135,0.73
7,property7,13,-0.188355,0.558849,0.73
7,property7,14,-0.189322,0.560600,0.75
7,property7,15,-0.190314,0.562384,0.74
7,property7,16,-0.191328,0.564197,0.78
8,property8,1,0.171532,0.527374,0.83
8,property8,2,0.170902,0.526142,0.76
8,property8,3,0.170236,0.524835,0.72
8,property8,4,0.169540,0.523461,0.73
8,property8,5,0.168817,0.522026,0.77
8,property8,6,0.168069,0.520537,0.74
8,property8,7,0.167301,0.518997,0.72
8,property8,8,0.166513,0.517414,0.73
8,property8,9,0.165710,0.515791,0.75
8,property8,10,0.164893,0.514132,0.79
8,property8,11,0.164064,0.512442,0.86
8,property8,12,0.163225,0.510724,0.76
8,property8,13,0.162378,0.508981,0.80
8,property8,14,0.161523,0.507217,0.73
8,property8,15,0.160664,0.505433,0.74
8,property8,16,0.159799,0.503634,0.78
9,property9,1,0.366107,0.939535,0.61
9,property9,2,0.366474,0.939904,0.47
9,property9,3,0.366392,0.939871,0.45
9,property9,4,0.365945,0.939509,0.62
9,property9,5,0.424016,3.688044,0.61
9,property9,6,0.364194,0.938006,0.58
9,property9,7,0.362986,0.936945,0.48
9,property9,8,0.361607,0.935719,0.46
9,property9,9,0.360085,0.934352,0.53
9,property9,10,0.358445,0.932862,0.46
9,property9,11,0.388153,2.899920,0.43
9,property9,12,0.354881,0.929572,0.44
9,property9,13,0.352989,0.927797,0.44
9,property9,14,0.351041,0.925951,0.46
9,property9,15,0.349049,0.924041,0.51
9,property9,16,0.347020,0.922075,0.45
10,property10,1,0.284422,0.848831,0.38
10,property10,2,0.284344,0.848699,0.58
10,property10,3,0.284129,0.848388,0.43
10,property10,4,0.283791,0.847915,0.38
10,property10,5,0.283342,0.847294,0.39
10,property10,6,0.282794,0.846539,0.46
10,property10,7,0.282156,0.845662,0.62
10,property10,8,0.281438,0.844675,0.62
10,property10,9,0.280648,0.843587,0.55
10,property10,10,0.279794,0.842408,0.69
10,property10,11,0.278883,0.841146,0.49
10,property10,12,0.277921,0.839808,0.77
10,property10,13,0.276914,0.838400,0.52
10,property10,14,0.275867,0.836930,0.92
10,property10,15,0.274784,0.835402,0.59
10,property10,16,0.273670,0.833821,0.62
11,property1,1,-4.055340,1.000000,0.07
11,property1,2,-4.056280,1.000000,0.10
11,property1,3,-4.057271,1.000000,0.08
11,property1,4,-4.058307,1.000000,0.06
11,property1,5,-4.059384,1.000000,0.07
11,property1,6,-4.060497,1.000000,0.06
11,property1,7,-4.061641,1.000000,0.06
11,property1,8,-4.062813,1.000000,0.06
11,property1,9,-4.064010,1.000000,0.11
11,property1,10,-4.065228,1.000000,0.14
11,property1,11,-4.066465,1.000000,0.18
11,property1,12,-4.067719,1.000000,0.11
11,property1,13,-4.068986,1.000000,0.09
11,property1,14,-4.070266,1.000000,0.10
11,property1,15,-4.071558,1.000000,0.09
11,property1,16,-4.072858,1.000000,0.13
12,property2,1,-0.395561,0.963815,0.35
12,property2,2,-0.396864,0.964823,0.51
12,property2,3,-0.398226,0.965871,0.35
12,property2,4,-0.399640,0.966952,0.35
12,property2,5,-0.401102,0.968063,0.35
12,property2,6,-0.402608,0.969200,0.35
12,property2,7,-0.404153,0.970358,0.37
12,property2,8,-0.405734,0.971535,0.35
12,property2,9,-0.407348,0.972727,0.34
12,property2,10,-0.408992,0.973932,0.36
12,property2,11,-0.410663,0.975148,0.35
12,property2,12,-0.412359,0.976371,0.34
12,property2,13,-0.414078,0.977602,0.36
12,property2,14,-0.415817,0.978837,0.35
12,property2,15,-0.417576,0.980075,0.35
12,property2,16,-0.419352,0.981316,0.36
13,property3,1,-0.287328,3.304822,0.35
13,property3,2,-0.299929,3.968409,0.46
13,property3,3,-0.321984,5.017588,0.35
13,property3,4,-0.352458,6.261117,0.37
13,property3,5,-0.372028,6.865319,0.35
13,property3,6,-0.403528,7.828625,0.36
13,property3,7,-0.448230,9.103499,0.35
13,property3,8,-0.509752,10.733478,0.35
13,property3,9,-0.591137,12.665578,0.35
13,property3,10,-0.701128,14.959077,0.35
13,property3,11,-0.789176,16.296240,0.35
13,property3,12,-0.963715,18.963741,0.36
13,property3,13,-1.196642,22.290157,0.35
13,property3,14,-1.485327,25.997904,0.35
13,property3,15,-1.843698,30.064650,0.35
13,property3,16,-2.310047,35.145897,0.35
14,property4,1,-1.902116,28.015070,0.34
14,property4,2,-2.406526,32.723763,0.46
14,property4,3,-3.041835,38.347183,0.36
14,property4,4,-3.764349,44.174644,0.37
14,property4,5,-4.593384,50.672852,0.36
14,property4,6,-5.600885,57.866268,0.35
14,property4,7,-6.775759,66.233795,0.36
14,property4,8,-8.180493,75.786072,0.35
14,property4,9,-9.882512,88.029587,0.35
14,property4,10,-11.948975,102.452499,0.36
14,property4,11,-14.243283,117.572121,0.36
14,property4,12,-inf,nan,0.36
14,property4,13,nan,nan,0.35
14,property4,14,nan,nan,0.35
14,property4,15,nan,nan,0.36
14,property4,16,nan,nan,0.36
15,property5,1,nan,nan,0.34
15,property5,2,nan,nan,0.45
15,property5,3,nan,nan,0.36
15,property5,4,nan,nan,0.35
15,property5,5,nan,nan,0.36
15,property5,6,nan,nan,0.34
15,property5,7,nan,nan,0.35
15,property5,8,nan,nan,0.35
15,property5,9,nan,nan,0.35
15,property5,10,nan,nan,0.35
15,property5,11,nan,nan,0.36
15,property5,12,nan,nan,0.35
15,property5,13,nan,nan,0.35
15,property5,14,nan,nan,0.35
15,property5,15,nan,nan,0.35
15,property5,16,nan,nan,0.35
16,property6,1,nan,nan,0.77
16,property6,2,nan,nan,0.72
16,property6,3,nan,nan,0.70
16,property6,4,nan,nan,0.70
16,property6,5,nan,nan,0.72
16,property6,6,nan,nan,0.70
16,property6,7,nan,nan,0.69
16,property6,8,nan,nan,0.69
16,property6,9,nan,nan,0.71
16,property6,10,nan,nan,0.69
16,property6,11,nan,nan,0.70
16,property6,12,nan,nan,0.70
16,property6,13,nan,nan,0.69
16,property6,14,nan,nan,0.69
16,property6,15,nan,nan,0.80
16,property6,16,nan,nan,1.20
17,property7,1,nan,nan,0.93
17,property7,2,nan,nan,0.74
17,property7,3,nan,nan,0.72
17,property7,4,nan,nan,0.70
17,property7,5,nan,nan,0.72
17,property7,6,nan,nan,0.77
17,property7,7,nan,nan,0.70
17,property7,8,nan,nan,0.69
17,property7,9,nan,nan,0.90
17,property7,10,nan,nan,0.70
17,property7,11,nan,nan,0.70
17,property7,12,nan,nan,0.71
17,property7,13,nan,nan,0.71
17,property7,14,nan,nan,0.70
17,property7,15,nan,nan,0.70
17,property7,16,nan,nan,0.72
18,property8,1,nan,nan,0.81
18,property8,2,nan,nan,0.69
18,property8,3,nan,nan,0.71
18,property8,4,nan,nan,0.69
18,property8,5,nan,nan,0.69
18,property8,6,nan,nan,0.70
18,property8,7,nan,nan,0.69
18,property8,8,nan,nan,0.69
18,property8,9,nan,nan,0.71
18,property8,10,nan,nan,0.70
18,property8,11,nan,nan,0.80
18,property8,12,nan,nan,0.79
18,property8,13,nan,nan,0.69
18,property8,14,nan,nan,0.70
18,property8,15,nan,nan,0.77
18,property8,16,nan,nan,0.74
19,property9,1,nan,nan,0.92
19,property9,2,nan,nan,0.68
19,property9,3,nan,nan,0.39
19,property9,4,nan,nan,0.38
19,property9,5,nan,nan,0.37
19,property9,6,nan,nan,0.37
19,property9,7,nan,nan,0.37
19,property9,8,nan,nan,0.69
19,property9,9,nan,nan,0.90
19,property9,10,nan,nan,0.62
19,property9,11,nan,nan,0.50
19,property9,12,nan,nan,0.38
19,property9,13,nan,nan,0.37
19,property9,14,nan,nan,0.36
19,property9,15,nan,nan,0.39
19,property9,16,nan,nan,0.38
20,property10,1,nan,nan,0.40
20,property10,2,nan,nan,0.50
20,property10,3,nan,nan,0.39
20,property10,4,nan,nan,0.39
20,property10,5,nan,nan,0.40
20,property10,6,nan,nan,0.38
20,property10,7,nan,nan,0.44
20,property10,8,nan,nan,0.39
20,property10,9,nan,nan,0.40
20,property10,10,nan,nan,0.37
20,property10,11,nan,nan,0.40
20,property10,12,nan,nan,0.42
20,property10,13,nan,nan,0.50
20,property10,14,nan,nan,0.39
20,property10,15,nan,nan,0.37
20,property10,16,nan,nan,0.41
21,property1,1,nan,nan,0.05
21,property1,2,nan,nan,0.05
21,property1,3,nan,nan,0.06
21,property1,4,nan,nan,0.06
21,property1,5,nan,nan,0.06
21,property1,6,nan,nan,0.06
21,property1,7,nan,nan,0.06
21,property1,8,nan,nan,0.06
21,property1,9,nan,nan,0.06
21,property1,10,nan,nan,0.07
21,property1,11,nan,nan,0.08
21,property1,12,nan,nan,0.13
21,property1,13,nan,nan,0.09
21,property1,14,nan,nan,0.06
21,property1,15,nan,nan,0.05
21,property1,16,nan,nan,0.06
22,property2,1,nan,nan,0.36
22,property2,2,nan,nan,0.48
22,property2,3,nan,nan,0.38
22,property2,4,nan,nan,0.35
22,property2,5,nan,nan,0.36
22,property2,6,nan,nan,0.35
22,property2,7,nan,nan,0.36
22,property2,8,nan,nan,0.35
22,property2,9,nan,nan,0.35
22,property2,10,nan,nan,0.36
22,property2,11,nan,nan,0.35
22,property2,12,nan,nan,0.37
22,property2,13,nan,nan,0.37
22,property2,14,nan,nan,0.37
22,property2,15,nan,nan,0.36
22,property2,16,nan,nan,0.35
23,property3,1,nan,nan,0.35
23,property3,2,nan,nan,0.47
23,property3,3,nan,nan,0.39
23,property3,4,nan,nan,0.36
23,property3,5,nan,nan,0.35
23,property3,6,nan,nan,0.37
23,property3,7,nan,nan,0.35
23,property3,8,nan,nan,0.35
23,property3,9,nan,nan,0.35
23,property3,10,nan,nan,0.35
23,property3,11,nan,nan,0.35
23,property3,12,nan,nan,0.36
23,property3,13,nan,nan,0.36
23,property3,14,nan,nan,0.35
23,property3,15,nan,nan,0.35
23,property3,16,nan,nan,0.35
24,property4,1,nan,nan,0.35
24,property4,2,nan,nan,0.46
24,property4,3,nan,nan,0.37
24,property4,4,nan,nan,0.37
24,property4,5,nan,nan,0.37
24,property4,6,nan,nan,0.36
24,property4,7,nan,nan,0.36
24,property4,8,nan,nan,0.35
24,property4,9,nan,nan,0.35
24,property4,10,nan,nan,0.35
24,property4,11,nan,nan,0.37
24,property4,12,nan,nan,0.36
24,property4,13,nan,nan,0.36
24,property4,14,nan,nan,0.38
24,property4,15,nan,nan,0.35
24,property4,16,nan,nan,0.36
25,property5,1,nan,nan,0.46
25,property5,2,nan,nan,0.50
25,property5,3,nan,nan,0.36
25,property5,4,nan,nan,0.40
25,property5,5,nan,nan,0.38
25,property5,6,nan,nan,0.37
25,property5,7,nan,nan,0.36
25,property5,8,nan,nan,0.38
25,property5,9,nan,nan,0.38
25,property5,10,nan,nan,0.36
25,property5,11,nan,nan,0.37
25,property5,12,nan,nan,0.40
25,property5,13,nan,nan,0.36
25,property5,14,nan,nan,0.39
25,property5,15,nan,nan,0.37
25,property5,16,nan,nan,0.37
26,property6,1,nan,nan,0.97
26,property6,2,nan,nan,0.83
26,property6,3,nan,nan,0.77
26,property6,4,nan,nan,0.75
26,property6,5,nan,nan,0.84
26,property6,6,nan,nan,0.88
26,property6,7,nan,nan,0.76
26,property6,8,nan,nan,0.85
26,property6,9,nan,nan,0.75
26,property6,10,nan,nan,0.72
26,property6,11,nan,nan,0.73
26,property6,12,nan,nan,0.82
26,property6,13,nan,nan,0.77
26,property6,14,nan,nan,0.78
26,property6,15,nan,nan,0.79
26,property6,16,nan,nan,0.82
