epoch,trained_on,step,loss,grad_norm,seconds
14,property4,2,-0.256324,0.808095,0.95
14,property4,3,-0.257888,0.812813,0.83
14,property4,4,-0.259378,0.815980,0.80
14,property4,5,-0.261383,0.820255,1.04
14,property4,6,-0.263527,0.827171,0.38
14,property4,7,-0.265444,0.832708,0.86
14,property4,8,-0.267566,0.840089,0.50
14,property4,9,-0.269742,0.847848,0.37
14,property4,10,-0.272332,0.863650,0.36
14,property4,11,-0.275455,0.911076,0.36
14,property4,12,-0.278106,0.909858,0.62
14,property4,13,-0.281820,0.939452,0.75
14,property4,14,-0.285608,0.984715,0.37
14,property4,15,-0.290424,1.014580,0.35
14,property4,16,-0.294561,1.052960,0.41
15,property5,1,0.341141,0.935792,0.46
15,property5,2,0.348182,1.189032,0.43
15,property5,3,0.341511,0.975482,0.65
15,property5,4,0.336495,1.045936,0.40
15,property5,5,0.331463,0.931752,0.36
15,property5,6,0.329047,0.931948,0.36
15,property5,7,0.326480,0.932834,0.44
15,property5,8,0.324064,0.928633,0.42
15,property5,9,0.322674,0.924059,0.41
15,property5,10,0.319838,0.930863,0.49
15,property5,11,0.315980,1.004617,0.48
15,property5,12,0.311590,0.982321,0.39
15,property5,13,0.309885,0.942095,0.36
15,property5,14,0.307324,0.941250,0.50
15,property5,15,0.303384,0.945332,0.56
15,property5,16,0.298686,0.951767,0.51
16,property6,1,0.440733,1.054316,0.76
16,property6,2,0.433274,1.001053,0.76
16,property6,3,0.425816,0.878356,0.82
16,property6,4,0.422028,0.855477,0.81
16,property6,5,0.420040,0.871783,0.94
16,property6,6,0.417911,0.862661,0.73
16,property6,7,0.415114,0.853536,0.76
16,property6,8,0.412734,0.834611,0.72
16,property6,9,0.411389,0.839129,0.76
16,property6,10,0.409767,0.830365,0.73
16,property6,11,0.408291,0.828229,0.72
16,property6,12,0.406819,0.826084,0.79
16,property6,13,0.405353,0.823929,0.70
16,property6,14,0.403890,0.821765,0.70
16,property6,15,0.402433,0.819593,0.69
16,property6,16,0.400980,0.817412,0.70
17,property7,1,-0.201887,0.586210,0.81
